momento,posicao
datetime,coord
T
01/14/2018 00:03:07,0.483317954;0.87544489;2.000
01/14/2018 00:03:08,0.997799279;0.066306858;2.000
01/14/2018 00:03:09,0.594908548;-0.803793393;2.000
01/14/2018 00:03:10,-0.354938358;-0.934889706;2.000
01/14/2018 00:03:11,-0.978456575;-0.206452734;2.000
01/14/2018 00:03:12,-0.702386329;0.711795929;2.000
01/14/2018 00:03:13,0.219454668;0.975622698;2.000
01/14/2018 00:03:14,0.939530056;0.342466458;2.000
01/14/2018 00:03:15,0.795805843;-0.605551864;2.000
01/14/2018 00:03:16,-0.079578592;-0.996828595;2.000
01/14/2018 00:03:17,-0.881798836;-0.471625713;2.000
01/14/2018 00:03:18,-0.873297297;0.487187675;2.000
01/14/2018 00:03:19,-0.061890251;0.998082961;2.000
01/14/2018 00:03:20,0.806418407;0.591345375;2.000
01/14/2018 00:03:21,0.9333097;-0.359072421;2.000
01/14/2018 00:03:22,0.202120359;-0.97936069;2.000
01/14/2018 00:03:23,-0.714897508;-0.699229257;2.000
01/14/2018 00:03:24,-0.974641903;0.22377033;2.000
01/14/2018 00:03:25,-0.338305028;0.941036507;2.000
01/14/2018 00:03:26,0.60906793;0.79311806;2.000
01/14/2018 00:03:27,0.996466642;-0.083989475;2.000
01/14/2018 00:03:28,0.467718518;-0.883877473;2.000
01/14/2018 00:03:29,-0.491047854;-0.871132599;2.000
01/14/2018 00:03:30,-0.998347094;-0.057472431;2.000
01/14/2018 00:03:31,-0.58777062;0.809027625;2.000
01/14/2018 00:03:32,0.363199451;0.931711414;2.000
01/14/2018 00:03:33,0.980245622;0.197784025;2.000
01/14/2018 00:03:34,0.696058488;-0.717985084;2.000
01/14/2018 00:03:35,-0.228081609;-0.973642018;2.000
01/14/2018 00:03:36,-0.942524527;-0.334136971;2.000
01/14/2018 00:03:37,-0.790414741;0.612572066;2.000
01/14/2018 00:03:38,0.088398712;0.996085171;2.000
01/14/2018 00:03:39,0.885938798;0.463802163;2.000
01/14/2018 00:03:40,0.868950838;-0.494898415;2.000
01/14/2018 00:03:41,0.053053485;-0.998591672;2.000
01/14/2018 00:03:42,-0.811620997;-0.584184352;2.000
01/14/2018 00:03:43,-0.930094878;0.367319368;2.000
01/14/2018 00:03:44,-0.193443817;0.981111354;2.000
01/14/2018 00:03:45,0.721058597;0.692874086;2.000
01/14/2018 00:03:46,0.972623062;-0.232388421;2.000
01/14/2018 00:03:47,0.32996237;-0.943994086;2.000
01/14/2018 00:03:48,-0.616064204;-0.787695942;2.000
01/14/2018 00:03:49,-0.99568419;0.092806219;2.000
01/14/2018 00:03:50,-0.459876723;0.88798277;2.000
01/14/2018 00:03:51,0.498739282;0.866752057;2.000
01/14/2018 00:03:52,0.998816691;0.048633501;2.000
01/14/2018 00:03:53,0.580586641;-0.814198472;2.000
01/14/2018 00:03:54,-0.371432089;-0.928460125;2.000
01/14/2018 00:03:55,-0.98195787;-0.18909982;2.000
01/14/2018 00:03:56,-0.689676113;0.724117987;2.000
01/14/2018 00:03:57,0.236690681;0.971585056;2.000
01/14/2018 00:03:58,0.945445155;0.325781306;2.000
01/14/2018 00:03:59,0.784961713;-0.619544275;2.000
01/14/2018 00:04:00,-0.097211908;-0.995263706;2.000
01/14/2018 00:04:01,-0.890009349;-0.455942276;2.000
01/14/2018 00:04:02,-0.864536299;0.50257038;2.000
01/14/2018 00:04:03,-0.044212563;0.999022147;2.000
01/14/2018 00:04:04,0.81676;0.576977559;2.000
01/14/2018 00:04:05,0.926807186;-0.375537536;2.000
01/14/2018 00:04:06,0.184752119;-0.982785152;2.000
01/14/2018 00:04:07,-0.727163193;-0.686464631;2.000
01/14/2018 00:04:08,-0.97052802;0.240988305;2.000
01/14/2018 00:04:09,-0.32159386;0.946877705;2.000
01/14/2018 00:04:10,0.623012211;0.78221211;2.000
01/14/2018 00:04:11,0.994823729;-0.101615692;2.000
01/14/2018 00:04:12,0.451998898;-0.892018495;2.000
01/14/2018 00:04:13,-0.506391635;-0.862303608;2.000
01/14/2018 00:04:14,-0.999208034;-0.03979076;2.000
01/14/2018 00:04:15,-0.573357175;0.819305529;2.000
01/14/2018 00:04:16,0.379635627;0.925136093;2.000
01/14/2018 00:04:17,0.983593184;0.1804008;2.000
01/14/2018 00:04:18,0.683239704;-0.730194157;2.000
01/14/2018 00:04:19,-0.245281209;-0.969451973;2.000
01/14/2018 00:04:20,-0.94829171;-0.317400116;2.000
01/14/2018 00:04:21,-0.779447185;0.626467944;2.000
01/14/2018 00:04:22,0.106017486;0.994364266;2.000
01/14/2018 00:04:23,0.89401017;0.448046667;2.000
01/14/2018 00:04:24,0.860054026;-0.510202971;2.000
01/14/2018 00:04:25,0.035368177;-0.99937435;2.000
01/14/2018 00:04:26,-0.821835011;-0.569725561;2.000
01/14/2018 00:04:27,-0.92344688;0.383726282;2.000
01/14/2018 00:04:28,-0.176045946;0.984381951;2.000
01/14/2018 00:04:29,0.733210819;0.680001394;2.000
01/14/2018 00:04:30,0.968356938;-0.249569309;2.000
01/14/2018 00:04:31,0.313200155;-0.94968714;2.000
01/14/2018 00:04:32,-0.629911407;-0.776666994;2.000
01/14/2018 00:04:33,-0.993885326;0.110417204;2.000
01/14/2018 00:04:34,-0.44408566;0.895984334;2.000
01/14/2018 00:04:35,0.514004314;0.857787599;2.000
01/14/2018 00:04:36,0.999521092;0.030944902;2.000
01/14/2018 00:04:37,0.566082788;-0.824348396;2.000
01/14/2018 00:04:38,-0.387809421;-0.92173958;2.000
01/14/2018 00:04:39,-0.985151436;-0.171687645;2.000
01/14/2018 00:04:40,-0.676749765;0.736213119;2.000
01/14/2018 00:04:41,0.25385252;0.967242936;2.000
01/14/2018 00:04:42,0.951063968;0.308994059;2.000
01/14/2018 00:04:43,0.77387159;-0.633342531;2.000
01/14/2018 00:04:44,-0.114814759;-0.993386919;2.000
01/14/2018 00:04:45,-0.897940948;-0.440115955;2.000
01/14/2018 00:04:46,-0.855504371;0.517795589;2.000
01/14/2018 00:04:47,-0.02652102;0.999648256;2.000
01/14/2018 00:04:48,0.826845634;0.562428927;2.000
01/14/2018 00:04:49,0.920014225;-0.391884964;2.000
01/14/2018 00:04:50,0.167325981;-0.985901626;2.000
01/14/2018 00:04:51,-0.739200999;-0.67348488;2.000
01/14/2018 00:04:52,-0.966109989;0.258130759;2.000
01/14/2018 00:04:53,-0.304781911;0.952422168;2.000
01/14/2018 00:04:54,0.636761251;0.771061029;2.000
01/14/2018 00:04:55,0.992869055;-0.119210065;2.000
01/14/2018 00:04:56,0.436137629;-0.899879974;2.000
01/14/2018 00:04:57,-0.521576722;-0.853204386;2.000
01/14/2018 00:04:58,-0.99975584;-0.022096619;2.000
01/14/2018 00:04:59,-0.55876405;0.829326677;2.000
01/14/2018 00:05:00,0.395952831;0.918270851;2.000
01/14/2018 00:05:01,0.986632505;0.162961039;2.000
01/14/2018 00:05:02,0.670206804;-0.7421744;2.000
01/14/2018 00:05:03,-0.262403942;-0.964958119;2.000
01/14/2018 00:05:04,-0.953761713;-0.300563793;2.000
01/14/2018 00:05:05,-0.768235364;0.640167498;2.000
01/14/2018 00:05:06,0.123603036;0.992331744;2.000
01/14/2018 00:05:07,0.901801375;0.432150761;2.000
01/14/2018 00:05:08,0.850887689;-0.525347639;2.000
01/14/2018 00:05:09,0.017671785;-0.999843842;2.000
01/14/2018 00:05:10,-0.831791476;-0.555088228;2.000
01/14/2018 00:05:11,-0.91650949;0.400012943;2.000
01/14/2018 00:05:12,-0.158592906;0.987344059;2.000
01/14/2018 00:05:13,0.745133265;0.6669156;2.000
01/14/2018 00:05:14,0.963787348;-0.266671985;2.000
01/14/2018 00:05:15,0.296339788;-0.955082577;2.000
01/14/2018 00:05:16,-0.643561206;-0.765394653;2.000
01/14/2018 00:05:17,-0.991774996;0.127993586;2.000
01/14/2018 00:05:18,-0.428155428;0.903705112;2.000
01/14/2018 00:05:19,0.529108265;0.848554326;2.000
01/14/2018 00:05:20,0.99991226;0.013246606;2.000
01/14/2018 00:05:21,0.551401534;-0.834239983;2.000
01/14/2018 00:05:22,-0.404065219;-0.914730178;2.000
01/14/2018 00:05:23,-0.988036273;-0.154221666;2.000
01/14/2018 00:05:24,-0.663611334;0.748077534;2.000
01/14/2018 00:05:25,0.270934805;0.9625977;2.000
01/14/2018 00:05:26,0.956384734;0.292109979;2.000
01/14/2018 00:05:27,0.762538949;-0.646942309;2.000
01/14/2018 00:05:28,-0.132381629;-0.991198822;2.000
01/14/2018 00:05:29,-0.905591148;-0.424151709;2.000
01/14/2018 00:05:30,-0.846204342;0.532858529;2.000
01/14/2018 00:05:31,-0.008821166;0.999961093;2.000
01/14/2018 00:05:32,0.836672149;0.54770404;2.000
01/14/2018 00:05:33,0.912932949;-0.408109582;2.000
01/14/2018 00:05:34,0.149847406;-0.988709136;2.000
01/14/2018 00:05:35,-0.751007151;-0.66029407;2.000
01/14/2018 00:05:36,-0.961389197;0.275192319;2.000
01/14/2018 00:05:37,-0.287874449;0.957668159;2.000
01/14/2018 00:05:38,0.65031074;0.75966831;2.000
01/14/2018 00:05:39,0.990603233;-0.136767079;2.000
01/14/2018 00:05:40,0.420139682;-0.907459447;2.000
01/14/2018 00:05:41,-0.536598355;-0.843837784;2.000
01/14/2018 00:05:42,-0.99999034;-0.004395554;2.000
01/14/2018 00:05:43,-0.543995817;0.839087928;2.000
01/14/2018 00:05:44,0.41214595;0.911117838;2.000
01/14/2018 00:05:45,0.989362632;0.14547021;2.000
01/14/2018 00:05:46,0.656963873;-0.753922058;2.000
01/14/2018 00:05:47,-0.279444442;-0.960161863;2.000
01/14/2018 00:05:48,-0.958932825;-0.283633279;2.000
01/14/2018 00:05:49,-0.756782791;0.653666434;2.000
01/14/2018 00:05:50,0.141149851;0.989988242;2.000
01/14/2018 00:05:51,0.909309971;0.416119426;2.000
01/14/2018 00:05:52,0.841454697;-0.540327671;2.000
01/14/2018 00:05:53,-0.0000301;-1;2.000
01/14/2018 00:05:54,-0.841487271;-0.54027694;2.000
01/14/2018 00:05:55,-0.909284882;0.416174247;2.000
01/14/2018 00:05:56,-0.141090165;0.98999675;2.000
01/14/2018 00:05:57,0.756822199;0.653620807;2.000
01/14/2018 00:05:58,0.958915723;-0.283691091;2.000
01/14/2018 00:05:59,0.279386554;-0.960178709;2.000
01/14/2018 00:06:00,-0.657009324;-0.75388245;2.000
01/14/2018 00:06:01,-0.98935386;0.145529857;2.000
01/14/2018 00:06:02,-0.41209102;0.911142685;2.000
01/14/2018 00:06:03,0.544046404;0.83905513;2.000
01/14/2018 00:06:04,0.999990073;-0.004455842;2.000
01/14/2018 00:06:05,0.53654748;-0.843870133;2.000
01/14/2018 00:06:06,-0.420194391;-0.907434115;2.000
01/14/2018 00:06:07,-0.990611477;-0.136707357;2.000
01/14/2018 00:06:08,-0.65026494;0.759707515;2.000
01/14/2018 00:06:09,0.287932185;0.957650801;2.000
01/14/2018 00:06:10,0.961405786;0.275134357;2.000
01/14/2018 00:06:11,0.750967342;-0.660339346;2.000
01/14/2018 00:06:12,-0.149907013;-0.9887001;2.000
01/14/2018 00:06:13,-0.912957552;-0.408054541;2.000
01/14/2018 00:06:14,-0.836639127;0.54775448;2.000
01/14/2018 00:06:15,0.008881452;0.999960559;2.000
01/14/2018 00:06:16,0.846236466;0.532807511;2.000
01/14/2018 00:06:17,0.905565575;-0.424206305;2.000
01/14/2018 00:06:18,0.132321871;-0.991206801;2.000
01/14/2018 00:06:19,-0.762577951;-0.646896335;2.000
01/14/2018 00:06:20,-0.956367122;0.292167638;2.000
01/14/2018 00:06:21,-0.270876771;0.962614032;2.000
01/14/2018 00:06:22,0.663656434;0.748037525;2.000
01/14/2018 00:06:23,0.988026974;-0.154281233;2.000
01/14/2018 00:06:24,0.404010071;-0.914754537;2.000
01/14/2018 00:06:25,-0.551451828;-0.834206738;2.000
01/14/2018 00:06:26,-0.999911459;0.013306889;2.000
01/14/2018 00:06:27,-0.529057106;0.848586223;2.000
01/14/2018 00:06:28,0.428209911;0.903679297;2.000
01/14/2018 00:06:29,0.99178271;0.127933793;2.000
01/14/2018 00:06:30,0.64351506;-0.765433451;2.000
01/14/2018 00:06:31,-0.296397369;-0.95506471;2.000
01/14/2018 00:06:32,-0.963803424;-0.266613879;2.000
01/14/2018 00:06:33,-0.745093056;0.666960522;2.000
01/14/2018 00:06:34,0.158652431;0.987334495;2.000
01/14/2018 00:06:35,0.916533605;0.399957687;2.000
01/14/2018 00:06:36,0.831758009;-0.555138375;2.000
01/14/2018 00:06:37,-0.017732065;-0.999842775;2.000
01/14/2018 00:06:38,-0.85091936;-0.525296339;2.000
01/14/2018 00:06:39,-0.90177532;0.432205129;2.000
01/14/2018 00:06:40,-0.123543209;0.992339194;2.000
01/14/2018 00:06:41,0.768273958;0.640121181;2.000
01/14/2018 00:06:42,0.953743591;-0.300621294;2.000
01/14/2018 00:06:43,0.262345765;-0.964973937;2.000
01/14/2018 00:06:44,-0.670251547;-0.742133993;2.000
01/14/2018 00:06:45,-0.986622678;0.163020522;2.000
01/14/2018 00:06:46,-0.395897469;0.918294721;2.000
01/14/2018 00:06:47,0.558814048;0.829292988;2.000
01/14/2018 00:06:48,0.999754506;-0.022156893;2.000
01/14/2018 00:06:49,0.521525282;-0.853235829;2.000
01/14/2018 00:06:50,-0.436191881;-0.899853679;2.000
01/14/2018 00:06:51,-0.99287624;-0.119150206;2.000
01/14/2018 00:06:52,-0.636714763;0.771099417;2.000
01/14/2018 00:06:53,0.304839331;0.952403792;2.000
01/14/2018 00:06:54,0.96612555;0.258072513;2.000
01/14/2018 00:06:55,0.739160394;-0.673529444;2.000
01/14/2018 00:06:56,-0.167385419;-0.985891536;2.000
01/14/2018 00:06:57,-0.92003785;-0.391829497;2.000
01/14/2018 00:06:58,-0.826811724;0.562478775;2.000
01/14/2018 00:06:59,0.026581288;0.999646655;2.000
01/14/2018 00:07:00,0.855535586;0.51774401;2.000
01/14/2018 00:07:01,0.897914412;-0.44017009;2.000
01/14/2018 00:07:02,0.114754869;-0.993393839;2.000
01/14/2018 00:07:03,-0.773909772;-0.633295874;2.000
01/14/2018 00:07:04,-0.951045338;0.309051397;2.000
01/14/2018 00:07:05,-0.253794206;0.967258239;2.000
01/14/2018 00:07:06,0.676794149;0.736172317;2.000
01/14/2018 00:07:07,0.985141084;-0.171747038;2.000
01/14/2018 00:07:08,0.38775385;-0.921762959;2.000
01/14/2018 00:07:09,-0.566132486;-0.824314266;2.000
01/14/2018 00:07:10,-0.999519224;0.031005162;2.000
01/14/2018 00:07:11,-0.513952598;0.857818586;2.000
01/14/2018 00:07:12,0.444139677;0.895957559;2.000
01/14/2018 00:07:13,0.993891981;0.110357284;2.000
01/14/2018 00:07:14,0.629864581;-0.776704969;2.000
01/14/2018 00:07:15,-0.31325741;-0.949668255;2.000
01/14/2018 00:07:16,-0.968371983;-0.249510927;2.000
01/14/2018 00:07:17,-0.733169821;0.680045597;2.000
01/14/2018 00:07:18,0.176105293;0.984371335;2.000
01/14/2018 00:07:19,0.923470013;0.383670608;2.000
01/14/2018 00:07:20,0.821800662;-0.569775107;2.000
01/14/2018 00:07:21,-0.035428428;-0.999372216;2.000
01/14/2018 00:07:22,-0.860084784;-0.510151118;2.000
01/14/2018 00:07:23,-0.893983156;0.448100565;2.000
01/14/2018 00:07:24,-0.105957537;0.994370655;2.000
01/14/2018 00:07:25,0.779484953;0.626420951;2.000
01/14/2018 00:07:26,0.948272572;-0.317457287;2.000
01/14/2018 00:07:27,0.245222762;-0.969466759;2.000
01/14/2018 00:07:28,-0.683283725;-0.730152964;2.000
01/14/2018 00:07:29,-0.983582306;0.180460099;2.000
01/14/2018 00:07:30,-0.379579851;0.925158979;2.000
01/14/2018 00:07:31,0.573406569;0.819270961;2.000
01/14/2018 00:07:32,0.999205633;-0.039851001;2.000
01/14/2018 00:07:33,0.506339647;-0.862334136;2.000
01/14/2018 00:07:34,-0.452052676;-0.891991243;2.000
01/14/2018 00:07:35,-0.994829853;-0.101555715;2.000
01/14/2018 00:07:36,-0.622965051;0.782249669;2.000
01/14/2018 00:07:37,0.321650946;0.946858315;2.000
01/14/2018 00:07:38,0.970542547;0.240929793;2.000
01/14/2018 00:07:39,0.727121806;-0.68650847;2.000
01/14/2018 00:07:40,-0.18481137;-0.982774011;2.000
01/14/2018 00:07:41,-0.926829824;-0.375481659;2.000
01/14/2018 00:07:42,-0.816725213;0.577026799;2.000
01/14/2018 00:07:43,0.044272793;0.999019479;2.000
01/14/2018 00:07:44,0.864566597;0.502518258;2.000
